Date,Value,Anomaly
189501,2.6,2.48
189502,2.85,2.69
189503,-0.32,-0.49
189504,-0.62,-0.8
189505,0.55,0.37
189506,0.78,0.57
189507,-0.44,-0.79
189508,-0.56,-0.79
189509,-0.9,-1.05
189510,-0.86,-0.94
189511,1.73,1.67
189512,-0.3,-0.32
189601,-0.66,-0.78
189602,-1.02,-1.18
189603,-1.2,-1.37
189604,-1.14,-1.32
189605,-1.49,-1.67
189606,-1.88,-2.09
189607,0.74,0.39
189608,0.72,0.49
189609,0.93,0.78
189610,1.73,1.65
189611,1.25,1.19
189612,0.66,0.64
189701,1.57,1.45
189702,1.8,1.64
189703,1.75,1.58
189704,-0.25,-0.43
189705,-0.03,-0.21
189706,-0.11,-0.32
189707,-0.65,-1
189708,-1.46,-1.69
189709,0.83,0.68
189710,1.15,1.07
189711,-0.57,-0.63
189712,-0.74,-0.76
189801,-0.26,-0.38
189802,-0.84,-1
189803,-1.01,-1.18
189804,-1.2,-1.38
189805,-1.21,-1.39
189806,-1.15,-1.36
189807,-1.26,-1.61
189808,-1.26,-1.49
189809,-2.15,-2.3
189810,-2.72,-2.8
189811,-2.82,-2.88
189812,-2.34,-2.36
189901,-2.46,-2.58
189902,-2.65,-2.81
189903,-3.1,-3.27
189904,-3.51,-3.69
189905,-3.93,-4.11
189906,-3.89,-4.1
189907,-4.09,-4.44
189908,-4.08,-4.31
189909,-4.59,-4.74
189910,-4.25,-4.33
189911,-4.33,-4.39
189912,-4.64,-4.66
190001,-5.2,-5.32
190002,-5.69,-5.85
190003,-6.12,-6.29
190004,-4.43,-4.61
190005,-4.42,-4.6
190006,-5.1,-5.31
190007,-6.1,-6.45
190008,-6.16,-6.39
190009,-5.38,-5.53
190010,-4.74,-4.82
190011,-4.25,-4.31
190012,-4.6,-4.62
190101,-4.11,-4.23
190102,-3.16,-3.32
190103,-3.23,-3.4
190104,-3.18,-3.36
190105,-2.97,-3.15
190106,-3.14,-3.35
190107,-3.53,-3.88
190108,-3.92,-4.15
190109,-4.52,-4.67
190110,-4.44,-4.52
190111,-4.7,-4.76
190112,-4.96,-4.98
190201,-4.87,-4.99
190202,-5.18,-5.34
190203,-4.92,-5.09
190204,-5.21,-5.39
190205,-5.41,-5.59
190206,-6.13,-6.34
190207,-6.66,-7.01
190208,-6.47,-6.7
190209,-6.27,-6.42
190210,-6.49,-6.57
